Brewery DB Style Name,Brewery DB Category,Craft Beer Category,Scenario,Description
German-Style Altbier,German Origin Ales,Hybrid Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
German-Style Kölsch / Köln-Style Kölsch,German Origin Ales,Hybrid Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
German-Style Rye Ale (Roggenbier) with or without Yeast,Hybrid/Mixed Beer,Hybrid Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
American-Style Premium Lager,North American Lager,Pilsner & Pale Lager,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Bohemian-Style Pilsener,European-Germanic Lager,Pilsner & Pale Lager,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
German-Style Oktoberfest / Wiesen (Meadow),European-Germanic Lager,Pilsner & Pale Lager,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
American-Style Märzen / Oktoberfest,North American Lager,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Field Beer,Hybrid/Mixed Beer,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
International-Style Pilsener,International Style,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Pumpkin Beer,Hybrid/Mixed Beer,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Specialty Beer,Hybrid/Mixed Beer,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Specialty Honey Lager or Ale,Hybrid/Mixed Beer,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Wild Beer,Hybrid/Mixed Beer,Specialty Beer,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Double Red Ale,British Origin Ales,Strong Ale,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Imperial Red Ale,North American Origin Ale,Strong Ale,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Irish-Style Red Ale,Irish Origin Ale,Strong Ale,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Old Ale,British Origin Ales,Strong Ale,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Strong Ale,British Origin Ales,Strong Ale,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
American-Style Wheat Wine Ale,North American Origin Ale,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Berliner-Style Weisse (Wheat),German Origin Ales,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Fruit Wheat Ale or Lager with or without Yeast,Hybrid/Mixed Beer,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
German-Style Leichtes Weizen / Weissbier,German Origin Ales,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Light American Wheat Ale or Lager with Yeast,Hybrid/Mixed Beer,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
Light American Wheat Ale or Lager without Yeast,Hybrid/Mixed Beer,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
South German-Style Kristall Weizen / Kristall Weissbier,German Origin Ales,Wheat,Backyard BBQ,"Beers for a barbecue can stand up to the heat and can also pair well with BBQ favorites like hot dogs and burgers. These include red ales, wheat, specialty flavors, and German-style beers."
